#,Category,Skill / Event,Difficulty dial,Notes
73,Falls & recovery,Get up from side,Both sides,
74,Falls & recovery,Flip from fully upside down,-,
75,Falls & recovery,Get up on a slope,10 / 20 deg,
76,Falls & recovery,Get up in a tight space,Clearance 2x down to 1.2x body height,
77,Falls & recovery,Drop 0.3 m,-,
78,Falls & recovery,Drop 0.5 m,-,
79,Falls & recovery,Drop 0.7 m,-,
80,Falls & recovery,Drop 1.0 m,-,
81,Falls & recovery,Drop onto uneven ground,Blocks and slopes,
82,Falls & recovery,Drop while tilted or rotating,Up to 45 deg off level,
83,Falls & recovery,Recover from a mid-walk slip,One foot slips out,
84,Falls & recovery,Choose to fall safely,Unrecoverable states,
85,Athletic,Jump in place,Height to 50 mm,
86,Athletic,Jump a gap,Gap to 1 body length,
87,Athletic,Jump up onto a step,Height to 1x leg length,
88,Athletic,Jump down from a step,Height to 2x leg length,
89,Athletic,Climb over a tall obstacle,Taller than leg length,
90,Athletic,Squeeze under something,Clearance to 60% body height,
91,Athletic,Back out of a corner,"Two walls, tight",
92,Degraded hardware,One weak servo,Torque 70% / 50% / 30%,
93,Degraded hardware,One dead servo,Each joint in turn,
94,Degraded hardware,Two weak servos,"50% torque, different legs",
95,Degraded hardware,IMU drift and noise,"Bias to 2 deg, noise to 3x nominal",
96,Degraded hardware,Delayed commands,20 / 50 / 100 ms lag,
97,Degraded hardware,"Low battery, reduced torque",Torque 80% then 60%,
98,Degraded hardware,"Worn feet, no grip",Friction 0.4 of nominal,
99,Perception,"See an obstacle, step over it",Height 10 to 50 mm,
100,Perception,"See a hole, avoid it",Any size,
101,Perception,Find stairs and climb them,From 1 m away,
102,Perception,Follow a path,Straight then curved,
103,Perception,React to a sudden appearance,Object enters 1 m view,
104,Perception,Low light or darkness,Down to 5 lux,
105,Perception,Reflective or patterned floor,"Mirror, tile, stripes",
106,Perception,Random unscripted event mid-walk,Anything,
107,Perception,Picked up and set down elsewhere,-,
108,Perception,Leashed and tugged while walking,Any direction,
109,Chaining,"Fall, get up, keep walking",One continuous motion,
110,Chaining,"Walk, jump, land, keep walking",-,
111,Chaining,"Sprint, stop, turn 180, sprint back",-,
112,Chaining,Stairs to flat to stairs,-,
113,Chaining,Friction change mid-stride,Carpet to tile under one foot,
114,Chaining,"Freeze mid-stride, hold, resume",Hold 5 s,
115,Chaining,Emergency stop from any state,-,
116,Startup,Powers on in a random pose,Any joint configuration,
117,Startup,Powers on upside down,-,
118,Startup,Powers on mid-air,Dropped from a hand,
119,Startup,Powers on with a foot trapped,-,
120,Stuck,Foot wedged under something,-,
121,Stuck,Wedged between two objects,"Chair legs, tight gap",
122,Stuck,Walking into a wall,-,
123,Stuck,Legs tangled with each other,-,
124,Stuck,Steps on its own foot,-,
125,Stuck,Impossible command,"Blocked path, unreachable pose",
126,Precision,Walk to a point and stop,Distance 0.5 to 3 m,
127,Precision,Stop on an exact heading,Any target heading,
128,Precision,Back into a tight spot,Clearance to 50 mm per side,
129,Precision,Walk a straight line 3 m,-,
130,Precision,Stepping stones,Spacing 0.5x to 1.5x stride,
131,Precision,Fit through a doorway,Clearance to 50 mm per side,
132,Smoothness,Keep an object on its back,Object friction lowered over time,
133,Smoothness,10 minutes continuous walking,-,
134,Smoothness,Quiet mode,-,
135,Smoothness,Efficient gait at each speed,Full speed range,
136,Smoothness,Same quality at low battery,100% down to 20%,
137,People,"Picked up, held, set down",-,
138,People,Step around a moving human foot,-,
139,People,Handled or petted while standing,Random light contact,
140,People,Wind gusts,"To 20% body weight, sideways",
141,People,Puddle then smooth floor,Wet feet,
142,People,Camera blocked or dirty,Full occlusion,
143,People,Rain or dust on sensors,Degraded readings,
144,Hard variants,Balance on a tilting platform,"See-saw, to 15 deg",
145,Hard variants,Backwards down stairs,Standard rise,
146,Hard variants,Get up carrying 2 kg,-,
147,Hard variants,Get up on gravel or a slope,20 deg or loose surface,
148,Hard variants,Continuous 30 s push,"10% body weight, sustained",
149,Hard variants,Stairs with one dead servo,Any leg,
150,Speed,Find top speed,Raise command until it fails,
151,Speed,Speed ladder,25 / 50 / 75 / 100% of top,
152,Speed,Acceleration,Zero to top speed,
153,Speed,Sustained run,60 s at 80% of top speed,
154,Speed,Top speed per surface,Grass / gravel / carpet / tile,
155,Speed,Top speed backward and sideways,Each direction,
156,Speed,Turn at speed,Arc at 80% of top speed,
157,Speed,Top speed with payload,+1 kg then +2 kg,
158,Speed,Trip at top speed,Obstacle at max speed,
159,Gaits,Static crawl,Three feet always down,
160,Gaits,Pace,Same-side legs together,
161,Gaits,Amble,Mid speed,
162,Gaits,Pronk,All four push off together,
163,Gaits,Gallop,Max speed gait,
164,Gaits,Three-legged hop,One leg held up,
165,Gaits,Backward trot,Slow to fast,
166,Gaits,Step and hold,One step per command,
167,Body positions,"Lie down flat, prone rest",-,
168,Body positions,Stretch,"Front forward, rear up",
169,Body positions,Roll over through the side,Both directions,
170,Body positions,Crawl at minimum height,Belly near ground,
171,Body positions,Sit up on hind legs,-,
172,Body positions,Bow,"Front down, rear up",
173,Body positions,Shake off,Rotational body shake,
174,Body positions,Lean around a corner,Feet planted,
175,Body positions,Scan left to right,Feet planted,
176,Body positions,Idle sway,-,
177,Body positions,Power-save lock and wake,-,
178,Foot movements,Probing step,Tap before committing weight,
179,Foot movements,Friction scrape test,Before stepping,
180,Foot movements,Push an object with a foot,Object to 0.5 kg,
181,Foot movements,Drag something backward,Load to 1 kg,
182,Foot movements,Press a pedal or button,-,
183,Foot movements,Kick an object,-,
184,Foot movements,Dig or scrape the ground,-,
185,Foot movements,Pivot around one planted foot,Up to 90 deg,
186,Foot movements,Crossover side step,"Legs cross, not shuffle",
187,Air movements,Mid-air twist,Up to 90 deg reorientation,
188,Air movements,Jump backward,To 0.5 body length,
189,Air movements,Jump sideways,To 0.5 body length,
190,Air movements,Two jumps back to back,No reset between,
191,Air movements,Land on a narrow target,Target 2x down to 1x foot spacing,
192,Air movements,Bound over an obstacle,Height to 1x leg length,
193,Path shapes,Figure eight,Loop radius 1 m down to 0.4 m,
194,Path shapes,Circle at fixed radius,0.3 to 2 m,
195,Path shapes,Reverse out of a dead end,No room to turn,
196,Path shapes,Brace against a wall and traverse,Gap narrower than stance,
197,Path shapes,Controlled slide down a steep slope,30 to 45 deg,
198,Path shapes,Descend a steep slope backward,20 to 30 deg,
199,Path shapes,"Skip a stair, two at a time",Standard rise,
200,Self-check,Startup joint sweep,"Every joint, full range",
